"Town_Name","Population","Total_Offenses","Offense_Rate","Violent_Crimes","Violent_Crime_Rate","Property_Crimes","Property_Crime_Rate"
"Tishomingo","3,119","138","44.2","3","1.0","33","10.6"
"Tonkawa","3,077","145","47.1","4","1.3","50","16.2"
"Tryon","505","4","7.9","0","0.0","1","2.0"
"Tulsa","31,948","3,128","97.9","260","8.1","943","29.5"
"Tupelo","313","45","143.8","0","0.0","19","60.7"
"Tushka","301","5","16.6","0","0.0","2","6.6"
"Tyrone","769","12","15.6","2","2.6","5","6.5"
"Union City","2,053","160","77.9","2","1.0","21","10.2"
"Valley Brook","779","490","629.0","4","5.1","38","48.8"
"Valliant","737","35","47.5","4","5.4","13","17.6"
"Velma","602","16","26.6","1","1.7","9","15.0"
"Verden","527","6","11.4","0","0.0","2","3.8"
"Verdigris","4,488","202","45.0","2","0.4","60","13.4"
"Vian","1,383","154","111.4","5","3.6","27","19.5"
"Vici","702","15","21.4","2","2.8","3","4.3"
"Vinita","5,532","351","63.4","10","1.8","139","25.1"
"Wagoner","37,481","1,213","32.4","35","0.9","541","14.4"
"Wagoner","8,931","629","70.4","24","2.7","305","34.2"
"Wakita","339","27","79.6","1","2.9","5","14.7"
"Walters","2,464","115","46.7","2","0.8","57","23.1"
"Warner","1,614","14","8.7","1","0.6","3","1.9"
"Washington","655","8","12.2","1","1.5","1","1.5"
"Washita","6,502","205","31.5","21","3.2","77","11.8"
"Watonga","2,931","103","35.1","6","2.0","39","13.3"
"Watts","310","49","158.1","0","0.0","6","19.4"
"Waukomis","1,349","51","37.8","2","1.5","9","6.7"
"Waurika","1,960","25","12.8","1","0.5","12","6.1"
"Waynoka","960","26","27.1","0","0.0","7","7.3"
"Webbers Falls","593","54","91.1","2","3.4","4","6.7"
"Weleetka","981","42","42.8","4","4.1","20","20.4"
"West Siloam Springs","839","260","309.9","8","9.5","69","82.2"
"Westville","1,561","165","105.7","2","1.3","49","31.4"
"Wetumka","1,221","57","46.7","5","4.1","19","15.6"
"Wewoka","3,390","197","58.1","11","3.2","60","17.7"
"Wilburton","2,633","180","68.4","8","3.0","62","23.5"
"Wilson","1,721","67","38.9","4","2.3","15","8.7"
"Wister","1,067","59","55.3","5","4.7","21","19.7"
"Woods","3,094","108","34.9","0","0.0","29","9.4"
"Woodward","6,951","217","31.2","9","1.3","70","10.1"
"Woodward","12,655","856","67.6","31","2.4","357","28.2"
"Wright City","733","15","20.5","0","0.0","5","6.8"
"Wyandotte","330","18","54.5","1","3.0","4","12.1"
"Wynnewood","2,227","118","53.0","2","0.9","29","13.0"
"Wynona","440","0","0.0","0","0.0","0","0.0"
"Yale","1,207","137","113.5","6","5.0","44","36.5"
"Yukon","26,971","1,278","47.4","36","1.3","441","16.4"
